country,year,life_expectancy,maternal_mortality_ratio,uhc_index,doctors_per_10000,pharmacists_per_10000,basic_water_access_pct,ncd_mortality_30_70
Nicaragua,2019,75.04,,,,,,
Nicaragua,2015,74.62,101.0,71.0,9.31,,59.5,14.4
Nicaragua,2010,74.05,112.0,,7.28,,60.78,15.4
Nicaragua,2000,73.26,162.0,,,,63.37,19.5
Niger,2019,63.29,,,,,,
Niger,2015,61.54,555.0,35.0,0.47,0.25,41.6,20.2
Niger,2010,58.95,663.0,,,,36.27,20.8
Niger,2000,50.35,813.0,,,,24.41,20.1
Nigeria,2019,62.62,,,,,,
Nigeria,2015,61.16,931.0,42.0,,11.100000000000001,53.11,22.5
Nigeria,2010,59.24,978.0,,,7.3,46.96,22.9
Nigeria,2000,53.63,1200.0,,,,34.88,25.5
Norway,2019,82.62,,,,,,
Norway,2015,82.01,3.0,86.0,26.47,74.3,100.0,9.3
Norway,2010,80.87,4.0,,24.95,63.9,100.0,11.3
Norway,2000,78.53,6.0,,,,100.0,14.2
Oman,2019,73.9,,,,,,
Oman,2015,72.52,19.0,71.0,20.89,49.900000000000006,77.9,18.1
Oman,2010,70.36,18.0,,19.27,41.1,67.42,20.2
Oman,2000,69.07,20.0,,14.37,21.8,,23.4
Pakistan,2019,65.61,,,,,,
Pakistan,2015,64.18,154.0,42.0,9.26,,88.84,24.8
Pakistan,2010,62.64,191.0,,8.08,,86.24,25.6
Pakistan,2000,60.08,286.0,,6.45,,81.49,26.7
Panama,2019,79.29,,,,,,
Panama,2015,78.72,58.0,76.0,,,90.52,13.2
Panama,2010,77.53,79.0,,14.06,,85.33,13.4
Panama,2000,77.23,91.0,,,,74.51,15.0
Papua New Guinea,2019,65.3,,,,,,
Papua New Guinea,2015,64.49,151.0,41.0,,,33.38,29.9
Papua New Guinea,2010,63.42,168.0,,0.51,,30.27,28.2
Papua New Guinea,2000,63.29,249.0,,0.47,,26.54,31.2
Paraguay,2019,75.81,,,,,,
Paraguay,2015,75.56,88.0,68.0,,,94.27,17.7
Paraguay,2010,74.99,108.0,,,,80.48,18.6
Paraguay,2000,74.8,165.0,,,,52.69,21.2
Peru,2019,79.9,,,,,,
Peru,2015,79.08,94.0,77.0,,,72.73,12.8
Peru,2010,77.28,104.0,,,,65.61,13.6
Peru,2000,74.42,144.0,,,,51.32,15.3
Philippines,2019,70.43,,,,,,
Philippines,2015,70.3,127.0,57.0,,,88.68,26.9
Philippines,2010,69.96,144.0,,12.72,,85.49,27.6
Philippines,2000,69.03,160.0,,12.19,,79.32,26.8
Poland,2019,78.27,,,,,,
Poland,2015,77.29,2.0,74.0,23.25,73.89999999999999,98.15,19.3
Poland,2010,76.25,3.0,,21.71,65.8,94.69,20.4
Poland,2000,73.7,7.0,,22.05,57.5,,24.8
Portugal,2019,81.57,,,,,,
Portugal,2015,80.89,9.0,81.0,47.49,84.0,100.0,11.2
Portugal,2010,79.73,9.0,,39.76,72.4,99.38,12.1
Portugal,2000,76.58,10.0,,32.03,41.3,98.5,15.7
Qatar,2019,77.17,,,,,,
Qatar,2015,76.41,9.0,69.0,,,99.69,15.4
Qatar,2010,74.08,10.0,,37.27,,100.0,16.4
Qatar,2000,71.29,14.0,,,,100.0,18.3
Republic of Korea,2019,83.3,,,,,,
Republic of Korea,2015,82.2,12.0,85.0,22.49,65.3,99.56,8.3
Republic of Korea,2010,80.58,15.0,,19.84,64.9,99.0,10.6
Republic of Korea,2000,76.21,17.0,,,,,16.5
Republic of Moldova,2019,73.26,,,,,,
Republic of Moldova,2015,71.13,22.0,68.0,24.84,,82.08,27.5
Republic of Moldova,2010,68.81,29.0,,23.81,43.5,79.29,29.5
Republic of Moldova,2000,66.87,44.0,,24.55,31.400000000000002,73.7,31.9
The former Yugoslav Republic of Macedonia,2019,74.82,,,,,,
The former Yugoslav Republic of Macedonia,2015,73.73,8.0,70.0,28.74,,90.58,20.7
The former Yugoslav Republic of Macedonia,2010,73.11,8.0,,26.76,,94.08,23.0
The former Yugoslav Republic of Macedonia,2000,71.11,13.0,,21.89,,98.55,26.0
Romania,2019,75.57,,,,,,
Romania,2015,74.82,21.0,73.0,,,100.0,21.5
Romania,2010,73.7,27.0,,24.8,66.10000000000001,100.0,23.4
Romania,2000,71.39,54.0,,19.53,31.7,100.0,26.4
Russian Federation,2019,73.23,,,,,,
Russian Federation,2015,71.3,18.0,71.0,37.49,,91.65,25.9
Russian Federation,2010,68.76,25.0,,23.93,5.8,89.23,30.4
Russian Federation,2000,65.29,56.0,,23.23,5.8,84.88,37.0
Rwanda,2019,69.1,,,,,,
Rwanda,2015,67.69,275.0,54.0,1.13,1.0,51.22,18.3
Rwanda,2010,64.44,373.0,,,,47.72,19.2
Rwanda,2000,47.51,1160.0,,,,41.0,30.1
Saint Lucia,2019,74.33,,,,,,
Saint Lucia,2015,75.01,115.0,66.0,,,97.82,19.0
Saint Lucia,2010,75.2,109.0,,16.49,,94.46,19.4
Saint Lucia,2000,73.21,86.0,,,,86.79,24.9
Saint Vincent and the Grenadines,2019,73.22,,,,,,
Saint Vincent and the Grenadines,2015,72.47,64.0,67.0,,,95.15,22.3
Saint Vincent and the Grenadines,2010,72.85,63.0,,6.65,,94.58,21.4
Saint Vincent and the Grenadines,2000,70.61,80.0,,8.26,,93.15,24.6
Samoa,2019,70.45,,,,,,
Samoa,2015,70.04,45.0,58.0,,,96.25,20.9
Samoa,2010,69.57,58.0,,3.44,,94.07,23.4
Samoa,2000,68.51,88.0,,,,89.93,29.5
Sao Tome and Principe,2019,70.42,,,,,,
Sao Tome and Principe,2015,69.6,130.0,53.0,3.16,,75.72,18.6
Sao Tome and Principe,2010,68.24,140.0,,,,69.68,18.6
Sao Tome and Principe,2000,63.45,179.0,,,,58.19,19.8
Saudi Arabia,2019,74.31,,,,,,
Saudi Arabia,2015,73.15,17.0,73.0,,,99.69,16.5
Saudi Arabia,2010,71.76,19.0,,24.07,54.400000000000006,98.8,17.9
Saudi Arabia,2000,70.52,24.0,,7.24,,97.39,18.9
Senegal,2019,68.58,,,,,,
Senegal,2015,67.2,346.0,44.0,2.07,0.98,66.61,18.4
Senegal,2010,65.47,447.0,,,,57.28,20.0
Senegal,2000,58.6,553.0,,,,39.97,21.3
Serbia,2019,75.87,,,,,,
Serbia,2015,75.21,13.0,65.0,24.6,,84.09,20.1
Serbia,2010,74.2,12.0,,24.82,,88.15,22.5
Serbia,2000,71.43,13.0,,,,93.11,28.5
Seychelles,2019,73.34,,,,,,
Seychelles,2015,73.2,54.0,71.0,,,96.25,21.3
Seychelles,2010,73.01,55.0,,10.95,4.4,95.77,22.8
Seychelles,2000,71.87,53.0,,,,93.2,24.1
Sierra Leone,2019,60.77,,,,,,
Sierra Leone,2015,56.94,1180.0,36.0,,,46.9,30.0
Sierra Leone,2010,54.74,1360.0,,0.21,0.51,38.83,31.8
Sierra Leone,2000,48.73,2480.0,,,,24.41,36.7
Singapore,2019,83.22,,,,,,
Singapore,2015,82.81,9.0,85.0,,,100.0,10.0
Singapore,2010,81.7,10.0,,17.19,35.4,100.0,11.3
Singapore,2000,78.44,13.0,,,,100.0,16.8
Slovakia,2019,78.23,,,,,,
Slovakia,2015,77.01,6.0,75.0,34.44,,100.0,17.7
Slovakia,2010,75.47,6.0,,33.51,,98.29,20.4
Slovakia,2000,73.3,8.0,,33.48,36.5,96.8,25.3
Slovenia,2019,81.31,,,,,,
Slovenia,2015,80.47,7.0,79.0,28.15,62.5,99.4,13.1
Slovenia,2010,79.55,8.0,,24.37,53.9,99.4,13.5
Slovenia,2000,76.05,12.0,,21.53,37.599999999999994,99.4,18.5
Solomon Islands,2019,65.25,,,,,,
Solomon Islands,2015,64.74,112.0,46.0,,,63.01,24.4
Solomon Islands,2010,63.69,141.0,,,,69.14,25.8
Solomon Islands,2000,62.51,245.0,,,,76.47,31.2
Somalia,2019,56.47,,,,,,
Somalia,2015,54.57,855.0,22.0,,,26.53,21.9
Somalia,2010,51.98,985.0,,,,21.2,21.6
Somalia,2000,49.87,1210.0,,,,19.6,24.1
South Africa,2019,65.25,,,,,,
South Africa,2015,62.57,125.0,69.0,7.81,28.5,78.97,26.6
South Africa,2010,57.14,171.0,,7.34,,74.71,28.2
South Africa,2000,55.75,160.0,,,,66.19,29.4
South Sudan,2019,62.79,,,,,,
South Sudan,2015,61.99,1110.0,30.0,,,36.4,19.6
South Sudan,2010,61.1,1100.0,,,,,20.3
South Sudan,2000,54.15,1730.0,,,,,23.8
Spain,2019,83.22,,,,,,
Spain,2015,82.33,4.0,81.0,32.17,118.69999999999999,100.0,10.1
Spain,2010,81.69,4.0,,30.29,91.6,100.0,10.7
Spain,2000,79.08,5.0,,31.16,71.39999999999999,100.0,13.5
Sri Lanka,2019,76.87,,,,,,
Sri Lanka,2015,76.27,36.0,63.0,8.62,7.199999999999999,86.36,17.6
Sri Lanka,2010,73.3,38.0,,7.24,,82.94,17.6
Sri Lanka,2000,71.89,56.0,,4.24,,75.99,21.5
Sudan,2019,69.15,,,,,,
Sudan,2015,67.94,320.0,42.0,4.07,43.7,51.71,26.0
Sudan (until 2011),2010,66.56,408.0,,,,44.25,26.8
Sudan (until 2011),2000,62.47,667.0,,,,35.3,29.8
Suriname,2019,71.48,,,,,,
Suriname,2015,72.6,122.0,70.0,10.46,,87.35,21.8
Suriname,2010,71.83,148.0,,,,82.92,23.0
Suriname,2000,69.94,221.0,,4.06,,73.57,28.0
Sweden,2019,82.4,,,,,,
Sweden,2015,81.75,4.0,85.0,42.86,76.10000000000001,100.0,9.3
Sweden,2010,81.3,4.0,,38.78,75.4,100.0,10.4
Sweden,2000,79.57,5.0,,30.73,72.5,100.0,13.2
Switzerland,2019,83.45,,,,,,
Switzerland,2015,82.61,5.0,82.0,41.9,64.4,100.0,8.7
Switzerland,2010,82.19,6.0,,38.17,63.7,100.0,9.7
Switzerland,2000,79.72,7.0,,35.3,62.300000000000004,100.0,12.6
Syrian Arab Republic,2019,72.67,,,,,,
Syrian Arab Republic,2015,64.4,30.0,59.0,,,94.57,21.8
Syrian Arab Republic,2010,74.35,27.0,,14.6,77.5,93.08,22.1
Syrian Arab Republic,2000,71.46,26.0,,13.65,54.0,90.11,22.6
Tajikistan,2019,69.5,,,,,,
Tajikistan,2015,68.66,18.0,67.0,,,71.69,25.4
Tajikistan,2010,68.01,23.0,,16.98,,62.0,26.1
Tajikistan,2000,65.58,53.0,,21.72,10.9,43.47,27.3
Thailand,2019,77.7,,,,,,
Thailand,2015,77.41,38.0,75.0,4.65,17.8,99.02,14.6
Thailand,2010,76.25,42.0,,3.91,13.0,96.64,15.8
Thailand,2000,71.25,43.0,,,,91.66,19.2
Timor-Leste,2019,69.62,,,,,,
Timor-Leste,2015,68.87,160.0,49.0,6.95,0.8400000000000001,65.32,19.9
Timor-Leste,2010,68.06,219.0,,,1.4000000000000001,54.95,23.2
Timor-Leste,2000,62.67,745.0,,,,,26.8
Togo,2019,64.27,,,,,,
Togo,2015,61.92,398.0,42.0,0.49,0.22999999999999998,46.19,23.5
Togo,2010,59.33,440.0,,2.55,,40.69,24.4
Togo,2000,55.95,489.0,,,,29.6,24.9
Tonga,2019,72.57,,,,,,
Tonga,2015,72.33,54.0,56.0,,,99.77,23.5
Tonga,2010,72.22,57.0,,5.58,3.9000000000000004,98.81,24.7
Tonga,2000,70.92,77.0,,,,97.37,26.1
Trinidad and Tobago,2019,76.13,,,,,,
Trinidad and Tobago,2015,74.61,68.0,72.0,26.5,,98.18,21.5
Trinidad and Tobago,2010,72.12,71.0,,18.09,48.3,96.32,23.6
Trinidad and Tobago,2000,69.7,81.0,,10.06,43.4,91.83,28.9
Tunisia,2019,77.04,,,,,,
Tunisia,2015,76.7,46.0,70.0,13.11,23.2,87.26,16.4
Tunisia,2010,76.05,46.0,,12.22,30.4,78.91,17.5
Tunisia,2000,74.12,66.0,,7.67,20.099999999999998,70.64,19.3
Turkey,2019,78.62,,,,,,
Turkey,2015,77.79,19.0,71.0,17.99,35.099999999999994,98.63,16.4
Turkey,2010,76.89,24.0,,17.07,36.7,95.99,18.2
Turkey,2000,74.41,42.0,,13.48,34.7,89.3,22.3
Turkmenistan,2019,69.75,,,,,,
Turkmenistan,2015,69.11,8.0,69.0,,,97.01,30.6
Turkmenistan,2010,67.31,10.0,,22.74,18.2,91.31,31.0
Turkmenistan,2000,63.32,29.0,,27.48,32.5,79.15,34.0
Uganda,2019,66.69,,,,,,
Uganda,2015,64.47,387.0,44.0,0.95,0.12,38.23,21.9
Uganda,2010,59.67,430.0,,,,31.17,22.7
Uganda,2000,48.76,578.0,,,,19.18,25.9
Ukraine,2019,73.02,,,,,,
Ukraine,2015,72.2,21.0,65.0,,,91.33,25.9
Ukraine,2010,70.2,25.0,,34.83,4.0,94.34,29.3
Ukraine,2000,67.53,35.0,,30.3,3.0,94.61,34.3
United Arab Emirates,2019,76.08,,,,,,
United Arab Emirates,2015,75.31,3.0,72.0,22.11,56.7,96.77,17.0
United Arab Emirates,2010,74.86,4.0,,14.2,17.9,95.83,18.1
United Arab Emirates,2000,73.18,6.0,,18.02,43.7,95.68,21.6
United Kingdom,2019,81.4,,,,,,
United Kingdom,2015,80.65,8.0,85.0,27.47,82.6,100.0,11.2
United Kingdom,2010,80.25,10.0,,26.27,64.0,100.0,12.2
United Kingdom,2000,77.85,,,19.91,,100.0,16.4
United Republic of Tanzania,2019,67.34,,,,,,
United Republic of Tanzania,2015,65.36,556.0,,,,39.14,17.9
United Republic of Tanzania,2010,61.39,644.0,,,,31.03,17.9
United Republic of Tanzania,2000,52.47,854.0,,,,16.44,21.2
United States of America,2019,78.5,,,,,,
United States of America,2015,78.56,18.0,,25.78,,96.97,14.3
United States of America,2010,78.56,15.0,,24.35,92.5,96.97,14.5
United States of America,2000,76.69,12.0,,25.94,,99.77,18.0
Uruguay,2019,77.1,,,,,,
Uruguay,2015,77.03,18.0,79.0,,,92.64,17.1
Uruguay,2010,76.36,17.0,,,,83.9,17.7
Uruguay,2000,74.82,26.0,,,,74.61,20.6
Uzbekistan,2019,73.01,,,,,,
Uzbekistan,2015,71.45,30.0,72.0,,,95.64,24.8
Uzbekistan,2010,70.19,31.0,,25.43,3.8,93.42,26.5
Uzbekistan,2000,65.27,41.0,,29.63,2.7,75.86,29.3
Vanuatu,2019,65.31,,,,,,
Vanuatu,2015,64.64,76.0,49.0,,,86.98,23.7
Vanuatu,2010,64.52,92.0,,,,82.89,24.9
Vanuatu,2000,63.9,140.0,,,,77.99,27.9
Venezuela (Bolivarian Republic of),2019,73.95,,,,,,
Venezuela (Bolivarian Republic of),2015,74.66,115.0,73.0,,,95.83,18.2
Venezuela (Bolivarian Republic of),2010,74.79,117.0,,,,96.11,18.4
Venezuela (Bolivarian Republic of),2000,74.09,119.0,,,,96.65,21.6
Viet Nam,2019,73.74,,,,,,
Viet Nam,2015,73.16,45.0,73.0,7.96,34.0,90.73,17.3
Viet Nam,2010,72.72,47.0,,7.1,26.7,85.33,18.0
Viet Nam,2000,71.45,68.0,,,,75.54,18.6
Yemen,2019,66.63,,,,,,
Yemen,2015,67.47,169.0,40.0,,,54.7,30.7
Yemen,2010,67.7,192.0,,,4.4,43.53,31.9
Yemen,2000,62.69,301.0,,,,25.64,33.1
Zambia,2019,62.45,,,,,,
Zambia,2015,60.5,232.0,54.0,,,40.59,18.0
Zambia,2010,56.67,305.0,,0.61,2.3000000000000003,37.54,19.9
Zambia,2000,44.46,528.0,,,,30.9,23.2
Zimbabwe,2019,60.68,,,,,,
Zimbabwe,2015,58.48,480.0,54.0,1.82,1.0,51.03,19.4
Zimbabwe,2010,51.49,598.0,,1.27,0.42999999999999994,54.14,21.1
Zimbabwe,2000,46.57,579.0,,1.26,,59.88,21.6
