country,year,life_expectancy,maternal_mortality_ratio,uhc_index,doctors_per_10000,pharmacists_per_10000,basic_water_access_pct,ncd_mortality_30_70
Burundi,2015,62.05,568.0,43.0,0.5,,55.56,22.8
Burundi,2010,58.6,665.0,,0.48,0.27,52.94,22.8
Burundi,2000,43.78,1010.0,,,,47.84,23.5
Cabo Verde,2019,74.03,,,,,,
Cabo Verde,2015,74.88,61.0,67.0,7.81,,72.87,17.4
Cabo Verde,2010,74.12,70.0,,5.93,0.81,71.32,18.3
Cabo Verde,2000,70.97,118.0,,,,70.31,20.9
Cambodia,2019,70.12,,,,,,
Cambodia,2015,69.17,178.0,55.0,,,69.86,21.3
Cambodia,2010,67.22,248.0,,2.3,3.8,62.24,22.2
Cambodia,2000,58.68,488.0,,1.68,4.6000000000000005,47.05,25.5
Cameroon,2019,62.36,,,,,,
Cameroon,2015,59.11,554.0,43.0,,,39.05,21.8
Cameroon,2010,56.58,597.0,,0.84,0.21000000000000002,39.03,21.8
Cameroon,2000,52.82,886.0,,,,37.94,24.5
Canada,2019,82.24,,,,,,
Canada,2015,81.76,11.0,88.0,,,98.77,10.0
Canada,2010,81.31,11.0,,,,98.5,11.1
Canada,2000,79.1,9.0,,,,98.18,14.4
Canada,1920,82.81,,,,,,
Central African Republic,2019,53.1,,,,,,
Central African Republic,2015,50.53,912.0,32.0,0.72,0.44999999999999996,33.75,23.7
Central African Republic,2010,48.51,1000.0,,,,35.55,24.9
Central African Republic,2000,44.34,1280.0,,,,44.01,24.9
Chad,2019,59.63,,,,,,
Chad,2015,57.91,1160.0,27.0,0.49,0.56,29.77,24.1
Chad,2010,55.65,1240.0,,,,30.49,24.5
Chad,2000,51.08,1420.0,,0.28,,31.73,24.3
Chile,2019,80.74,,,,,,
Chile,2015,79.82,14.0,66.0,21.47,44.3,98.16,12.5
Chile,2010,78.46,20.0,,14.33,26.400000000000002,90.3,13.3
Chile,2000,76.77,31.0,,,,74.56,14.6
China,2019,77.43,,,,,,
China,2015,76.64,30.0,76.0,17.73,29.900000000000002,84.21,17.4
China,2010,74.89,36.0,,14.53,25.7,79.32,18.1
China,2000,71.58,59.0,,12.36,31.9,70.4,21.5
Colombia,2019,79.31,,,,,,
Colombia,2015,78.35,85.0,76.0,19.74,,84.64,15.9
Colombia,2010,77.09,85.0,,15.92,,80.13,17.3
Colombia,2000,73.75,94.0,,,,71.1,20.6
Comoros,2019,67.39,,,,,,
Comoros,2015,66.45,285.0,49.0,,,76.91,23.0
Comoros,2010,64.98,341.0,,,,81.38,23.5
Comoros,2000,61.51,444.0,,,,89.65,25.9
Congo,2019,64.74,,,,,,
Congo,2015,63.11,416.0,40.0,,,41.39,17.0
Congo,2010,60.95,506.0,,1.16,,31.2,19.0
Congo,2000,52.12,739.0,,,,18.01,24.8
Costa Rica,2019,80.85,,,,,,
Costa Rica,2015,80.78,28.0,76.0,13.79,72.6,98.8,11.6
