country,year,life_expectancy
Gabon,2019,66.47
Gabon,2015,64.93
Gabon,2010,62.16
Gabon,2000,58.10
Gambia,2019,65.47
Gambia,2015,64.14
Gambia,2010,62.42
Gambia,2000,59.24
Georgia,2019,73.28
Georgia,2015,72.58
Georgia,2010,71.87
Georgia,2000,69.41
Germany,2019,81.72
Germany,2015,80.42
Germany,2010,80.17
Germany,2000,78.09
Ghana,2019,66.28
Ghana,2015,64.55
Ghana,2010,62.00
Ghana,2000,59.24
Greece,2019,81.10
Greece,2015,80.38
Greece,2010,80.10
Greece,2000,78.17
Grenada,2019,72.88
Grenada,2015,72.70
Grenada,2010,71.97
Grenada,2000,71.97
Guatemala,2019,72.02
Guatemala,2015,70.95
Guatemala,2010,69.30
Guatemala,2000,66.78
Guinea,2019,61.01
Guinea,2015,58.81
Guinea,2010,58.07
Guinea,2000,54.26
Guinea-Bissau,2019,60.22
Guinea-Bissau,2015,58.23
Guinea-Bissau,2010,55.43
Guinea-Bissau,2000,50.28
Guyana,2019,65.69
Guyana,2015,65.59
Guyana,2010,64.77
Guyana,2000,62.96
Haiti,2019,64.05
Haiti,2015,62.61
Haiti,2010,31.28
Haiti,2000,57.05
Honduras,2019,71.94
Honduras,2015,69.82
Honduras,2010,71.15
Honduras,2000,70.04
Hungary,2019,76.44
Hungary,2015,75.57
Hungary,2010,74.58
Hungary,2000,71.34
Iceland,2019,82.33
Iceland,2015,82.14
Iceland,2010,81.68
Iceland,2000,79.70
India,2019,70.79
India,2015,69.31
India,2010,67.23
India,2000,62.11
Indonesia,2019,71.31
Indonesia,2015,70.61
Indonesia,2010,69.26
Indonesia,2000,67.17
Iran (Islamic Republic of),2019,77.35
Iran (Islamic Republic of),2015,76.66
Iran (Islamic Republic of),2010,75.86
Iran (Islamic Republic of),2000,72.56
Iraq,2019,72.42
Iraq,2015,70.29
Iraq,2010,70.24
Iraq,2000,68.77
Ireland,2019,81.84
Ireland,2015,81.14
Ireland,2010,80.41
Ireland,2000,76.41
Israel,2019,82.62
Israel,2015,81.93
Israel,2010,81.56
Israel,2000,78.57
Italy,2019,82.97
Italy,2015,82.21
Italy,2010,81.90
Italy,2000,79.36
Jamaica,2019,75.98
Jamaica,2015,75.85
Jamaica,2010,75.77
Jamaica,2000,74.22
Japan,2019,84.26
Japan,2015,83.62
Japan,2010,82.68
Japan,2000,81.12
Jordan,2019,77.87
Jordan,2015,77.82
Jordan,2010,76.59
Jordan,2000,72.65
Kazakhstan,2019,73.95
Kazakhstan,2015,71.91
Kazakhstan,2010,68.43
Kazakhstan,2000,63.15
Kenya,2019,66.09
Kenya,2015,64.17
Kenya,2010,61.18
Kenya,2000,53.87
Kiribati,2019,59.42
Kiribati,2015,58.20
Kiribati,2010,58.01
Kiribati,2000,55.73
Kuwait,2019,80.97
Kuwait,2015,81.13
Kuwait,2010,79.83
Kuwait,2000,77.86
Kyrgyzstan,2019,74.18
Kyrgyzstan,2015,71.59
Kyrgyzstan,2010,69.17
Kyrgyzstan,2000,65.95
Lao People's Democratic Republic,2019,68.51
Lao People's Democratic Republic,2015,67.08
Lao People's Democratic Republic,2010,64.88
Lao People's Democratic Republic,2000,58.41
Latvia,2019,75.38
Latvia,2015,74.80
Latvia,2010,72.94
Latvia,2000,70.18
Lebanon,2019,76.44
Lebanon,2015,75.98
Lebanon,2010,75.53
Lebanon,2000,74.61
Lesotho,2019,50.75
Lesotho,2015,47.67
Lesotho,2010,47.38
Lesotho,2000,47.82
Liberia,2019,64.08
Liberia,2015,61.17
Liberia,2010,60.70
Liberia,2000,53.77
Libya,2019,75.78
Libya,2015,74.60
Libya,2010,76.04
Libya,2000,74.40
Lithuania,2019,75.99
Lithuania,2015,74.38
Lithuania,2010,73.14
Lithuania,2000,72.04
Luxembourg,2019,82.41
Luxembourg,2015,82.31
Luxembourg,2010,80.94
Luxembourg,2000,78.24
Madagascar,2019,65.35
Madagascar,2015,64.19
Madagascar,2010,62.79
Madagascar,2000,58.82
Malawi,2019,65.62
Malawi,2015,63.04
Malawi,2010,56.80
Malawi,2000,44.73
